DATE,CSUSHPISA
2003-01-01,128.461
2003-02-01,129.356
2003-03-01,130.148
2003-04-01,130.885
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.968
2003-09-01,136.295
2003-10-01,137.533
2003-11-01,138.795
2003-12-01,140.181
2004-01-01,141.64700000000002
2004-02-01,143.192
2004-03-01,145.058
2004-04-01,146.593
2004-05-01,148.186
2004-06-01,149.852
2004-07-01,151.339
2004-08-01,152.635
2004-09-01,154.18
2004-10-01,155.752
2004-11-01,157.529
2004-12-01,159.332
2005-01-01,161.289
2005-02-01,163.346
2005-03-01,165.81400000000002
2005-04-01,167.503
2005-05-01,169.352
2005-06-01,171.192
2005-07-01,172.861
2005-08-01,174.44400000000002
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68200000000002
2005-12-01,180.911
2006-01-01,182.321
2006-02-01,183.288
2006-03-01,184.364
2006-04-01,184.329
2006-05-01,184.155
2006-06-01,183.507
2006-07-01,183.066
2006-08-01,182.594
2006-09-01,182.798
2006-10-01,183.198
2006-11-01,183.608
2006-12-01,184.139
2007-01-01,184.517
2007-02-01,184.599
2007-03-01,184.151
2007-04-01,183.011
2007-05-01,181.601
2007-06-01,180.253
2007-07-01,179.11
2007-08-01,178.116
2007-09-01,177.55700000000002
2007-10-01,176.623
2007-11-01,175.146
2007-12-01,174.34
2008-01-01,173.13099999999997
2008-02-01,171.53900000000002
2008-03-01,170.05200000000002
2008-04-01,168.33599999999998
2008-05-01,166.658
2008-06-01,165.017
2008-07-01,163.565
2008-08-01,161.988
2008-09-01,160.30700000000002
2008-10-01,158.327
2008-11-01,156.142
2008-12-01,153.618
2009-01-01,151.507
2009-02-01,150.014
2009-03-01,148.66
2009-04-01,147.94799999999998
2009-05-01,147.694
2009-06-01,148.089
2009-07-01,148.409
2009-08-01,148.27700000000002
2009-09-01,148.025
2009-10-01,147.85
2009-11-01,148.136
2009-12-01,147.93
2010-01-01,147.39600000000002
2010-02-01,145.632
2010-03-01,145.858
2010-04-01,146.401
2010-05-01,146.391
2010-06-01,145.718
2010-07-01,144.986
2010-08-01,143.91
2010-09-01,143.014
2010-10-01,142.525
2010-11-01,142.167
2010-12-01,142.054
2011-01-01,141.516
2011-02-01,140.344
2011-03-01,139.975
2011-04-01,140.007
2011-05-01,139.903
2011-06-01,139.859
2011-07-01,139.727
2011-08-01,139.306
2011-09-01,138.664
2011-10-01,137.947
2011-11-01,137.14600000000002
2011-12-01,136.668
2012-01-01,136.602
2012-02-01,136.526
2012-03-01,137.89700000000002
2012-04-01,139.148
2012-05-01,140.149
2012-06-01,141.02700000000002
2012-07-01,141.66899999999998
2012-08-01,142.279
2012-09-01,142.905
2012-10-01,143.596
2012-11-01,144.579
2012-12-01,145.495
2013-01-01,146.821
2013-02-01,147.779
2013-03-01,149.959
2013-04-01,151.516
2013-05-01,152.847
2013-06-01,154.197
2013-07-01,155.601
2013-08-01,156.958
2013-09-01,158.221
2013-10-01,159.238
2013-11-01,160.07399999999998
2013-12-01,160.994
2014-01-01,161.924
2014-02-01,162.52100000000002
2014-03-01,163.08
2014-04-01,163.384
2014-05-01,163.651
2014-06-01,164.06
2014-07-01,164.581
2014-08-01,165.208
2014-09-01,165.899
2014-10-01,166.635
2014-11-01,167.329
2014-12-01,168.044
2015-01-01,168.622
2015-02-01,169.118
2015-03-01,169.79
2015-04-01,170.28799999999998
2015-05-01,170.87099999999998
2015-06-01,171.472
2015-07-01,172.144
2015-08-01,172.926
2015-09-01,173.817
2015-10-01,174.78
2015-11-01,175.72400000000002
2015-12-01,176.528
2016-01-01,177.253
2016-02-01,177.634
2016-03-01,178.15200000000002
2016-04-01,178.75599999999997
2016-05-01,179.416
2016-06-01,180.081
2016-07-01,180.842
2016-08-01,181.83
2016-09-01,182.804
2016-10-01,183.733
2016-11-01,184.743
2016-12-01,185.708
2017-01-01,186.786
2017-02-01,187.305
2017-03-01,187.982
2017-04-01,188.712
2017-05-01,189.6
2017-06-01,190.499
2017-07-01,191.448
2017-08-01,192.637
2017-09-01,193.732
2017-10-01,194.781
2017-11-01,195.93400000000003
2017-12-01,197.157
2018-01-01,198.295
2018-02-01,199.224
2018-03-01,199.961
2018-04-01,200.652
2018-05-01,201.414
2018-06-01,202.217
2018-07-01,202.894
2018-08-01,203.654
2018-09-01,204.31
2018-10-01,205.072
2018-11-01,205.645
2018-12-01,206.136
2019-01-01,206.526
2019-02-01,206.849
2019-03-01,207.072
2019-04-01,207.528
2019-05-01,208.144
2019-06-01,208.616
2019-07-01,209.222
2019-08-01,210.024
2019-09-01,210.827
2019-10-01,211.719
2019-11-01,212.758
2019-12-01,213.93
2020-01-01,215.025
2020-02-01,215.887
2020-03-01,216.44
2020-04-01,216.84
2020-05-01,216.977
2020-06-01,217.542
2020-07-01,219.25
2020-08-01,222.265
2020-09-01,225.71
2020-10-01,229.65
2020-11-01,233.219
2020-12-01,236.533
2021-01-01,239.69
2021-02-01,242.426
2021-03-01,245.509
2021-04-01,249.078
2021-05-01,253.343
2021-06-01,258.17900000000003
2021-07-01,262.55400000000003
2021-08-01,266.599
2021-09-01,270.151
2021-10-01,273.567
2021-11-01,277.286
2021-12-01,281.47900000000004
2022-01-01,286.219
2022-02-01,291.267
2022-03-01,296.456
2022-04-01,300.47
2022-05-01,303.504
2022-06-01,304.32
2022-07-01,303.394
2022-08-01,301.063
2022-09-01,299.027
2022-10-01,298.693
2022-11-01,298.41700000000003
2022-12-01,297.649
2023-01-01,297.569
2023-02-01,297.958
2023-03-01,298.958
2023-04-01,300.345
2023-05-01,302.411
2023-06-01,304.4
2023-07-01,306.598
2023-08-01,309.144
2023-09-01,311.181
2023-10-01,313.113
2023-11-01,313.99
2023-12-01,314.692
